classId,grade,letter,headTeacherId
1,3,D,134
2,2,B,283
3,6,A,118
4,10,D,184
5,8,A,323
6,6,B,235
7,5,D,51
8,12,B,15
9,2,A,267
10,8,A,139
11,1,D,50
12,3,A,210
13,4,A,117
14,12,C,242
15,9,B,7
16,8,B,256
17,4,C,227
18,8,A,262
19,9,C,75
20,9,A,258
21,12,A,207
22,2,B,78
23,2,B,80
24,5,C,289
25,10,D,49
26,3,D,123
27,10,C,188
28,4,D,88
29,10,A,259
30,11,C,284
31,7,D,319
32,9,D,9
33,9,A,317
34,1,A,306
35,12,B,109
36,10,D,225
37,11,C,268
38,1,C,72
39,7,C,236
40,7,A,55
41,4,A,144
42,12,B,247
43,9,B,278
44,5,B,43
45,6,D,264
46,9,C,216
47,9,A,203
48,6,B,23
49,3,B,316
50,5,B,115
