markId,description,number,subjectId,studentId,teacherId,date
1,Good,4,94,39,81,134,1998-05-03
2,Good,5,46,32,57,283,1955-02-13
3,Excellent,5,72,29,319,118,1992-11-28
4,Average,4,20,10,17,235,1975-03-30
5,Average,3,72,27,276,41,1965-12-31
6,Poor,2,71,10,56,300,1990-01-18
7,Average,4,45,47,206,324,1975-03-31
8,Poor,2,68,42,63,23,1962-09-28
9,Excellent,5,65,24,106,267,1975-04-26
10,Average,4,45,15,224,252,1957-10-21
11,Poor,2,71,15,181,98,1959-11-03
12,Average,3,92,20,43,242,1986-03-05
13,Excellent,5,83,12,80,117,1991-11-25
14,Fair,3,00,20,76,245,1971-04-15
15,Poor,2,61,24,295,7,2005-06-04
16,Good,5,16,23,332,268,1968-10-12
17,Poor,2,60,21,249,249,1998-10-09
18,Poor,2,45,24,239,262,1985-09-15
19,Average,3,81,30,154,97,1983-10-13
20,Average,4,35,19,28,63,1960-06-17
21,Poor,2,56,32,57,283,1990-01-17
22,Average,4,25,26,327,30,1982-12-19
23,Average,3,56,24,218,185,1956-09-09
24,Average,3,85,23,332,268,2000-03-28
25,Fair,3,01,25,75,164,1988-07-09
26,Average,3,73,9,44,255,1953-04-07
27,Poor,2,21,8,215,200,1980-01-21
28,Average,3,62,25,257,327,2001-08-11
29,Excellent,5,77,10,58,70,1955-07-18
30,Average,3,52,40,71,287,1986-01-30
31,Excellent,5,86,45,141,190,1977-03-18
32,Good,4,84,42,203,128,1994-12-06
33,Excellent,5,51,19,190,105,1979-09-01
34,Good,4,85,24,171,80,1997-08-15
35,Excellent,5,60,7,11,38,1969-04-26
36,Poor,2,91,29,289,296,1975-01-23
37,Excellent,5,67,23,332,268,1965-08-29
38,Average,4,40,31,41,174,1970-11-12
39,Poor,2,19,37,70,33,1993-04-17
40,Average,4,09,44,162,149,1996-09-14
41,Poor,2,64,14,82,22,1965-10-04
42,Good,5,06,39,293,100,2001-02-05
43,Poor,2,56,16,113,286,1976-08-26
44,Average,3,52,15,224,252,1998-10-12
45,Good,5,41,47,223,51,2005-10-22
46,Fair,3,32,38,60,39,1999-12-19
47,Average,3,62,35,5,333,1995-01-31
48,Average,4,12,42,230,170,1985-08-14
49,Average,3,52,33,111,53,1995-06-04
50,Good,5,31,17,130,187,1972-07-26
51,Average,4,44,43,105,151,1957-02-12
52,Poor,2,55,39,31,107,2004-09-16
53,Fair,3,09,12,329,60,1962-11-27
54,Average,4,05,14,307,102,1970-12-20
55,Good,4,52,45,143,244,1976-09-24
56,Poor,2,68,18,195,8,1968-05-15
57,Average,3,89,32,69,320,2006-06-06
58,Average,3,87,41,214,176,2000-09-02
59,Fair,3,19,21,110,162,1994-09-20
60,Excellent,6,00,30,158,165,1965-09-26
61,Poor,2,50,12,7,94,1962-12-29
62,Poor,2,82,27,93,136,1981-08-19
63,Poor,2,91,18,29,264,1960-03-14
64,Average,4,12,18,29,264,1997-03-27
65,Good,4,60,40,128,301,1988-08-04
66,Average,3,87,26,259,77,1972-11-28
67,Average,4,42,33,89,222,1959-07-06
68,Poor,2,98,7,11,38,2002-04-12
69,Fair,3,40,32,87,1,1954-12-20
70,Excellent,5,71,27,93,136,1983-05-13
71,Good,5,49,24,291,295,1956-02-14
72,Average,4,21,20,254,25,1980-11-28
73,Poor,2,26,7,96,240,2000-05-30
74,Excellent,5,72,39,31,107,1995-01-29
75,Average,3,70,32,169,207,2002-09-13
76,Average,3,51,16,242,83,1996-12-12
77,Average,3,69,39,99,155,1959-04-25
78,Poor,2,04,39,31,107,1965-11-28
79,Average,4,44,11,138,79,2002-06-06
80,Excellent,5,69,47,206,324,1996-07-22
81,Poor,2,11,45,141,190,1966-03-08
82,Average,4,09,20,139,273,2002-06-09
83,Poor,2,09,10,322,5,1959-03-10
84,Poor,2,45,35,212,203,1990-12-22
85,Good,5,08,30,118,75,1981-12-19
86,Good,5,31,20,43,242,1980-07-02
87,Average,3,74,26,146,52,1985-01-09
88,Fair,3,46,32,169,207,1961-09-13
89,Poor,2,32,38,60,39,1973-11-21
90,Good,4,92,29,289,296,1953-12-12
91,Good,5,02,8,237,246,1976-08-19
92,Average,3,79,19,190,105,1972-12-27
93,Fair,3,21,9,10,157,1984-02-22
94,Poor,2,19,30,135,21,1980-07-23
95,Average,3,59,35,216,230,1986-09-17
96,Excellent,5,82,15,311,317,1992-02-15
97,Average,4,14,32,66,293,1993-11-24
98,Average,4,44,17,133,215,1987-06-02
99,Good,4,93,45,141,190,1963-03-11
100,Average,3,53,34,324,133,1985-11-24
101,Good,4,91,12,331,85,1993-06-16
102,Poor,2,63,25,313,67,2000-10-20
103,Poor,2,71,12,45,109,1983-08-27
104,Average,3,82,8,115,188,1965-01-23
105,Excellent,5,82,17,130,187,1969-06-13
106,Poor,2,23,8,136,193,1984-03-16
107,Poor,2,28,34,324,133,1957-04-19
108,Fair,3,38,18,83,294,1975-10-30
109,Poor,2,34,30,154,97,1976-04-07
110,Fair,3,00,40,189,6,1987-10-14
111,Good,5,00,33,116,61,1962-01-21
112,Average,3,85,16,269,206,1993-07-09
113,Good,5,44,12,40,266,2006-03-30
114,Average,3,50,44,155,99,2006-03-01
115,Excellent,5,89,14,122,126,2007-07-22
116,Average,4,41,33,116,61,1968-07-22
117,Poor,2,72,30,154,97,1975-06-13
118,Poor,2,46,36,281,156,1977-03-24
119,Good,5,05,17,275,237,1968-04-08
120,Good,5,29,12,127,19,1961-02-03
121,Poor,2,13,13,129,68,1995-11-20
122,Poor,2,95,37,52,12,2005-10-22
123,Poor,2,66,26,30,65,1981-05-22
124,Average,4,49,34,261,93,1954-01-08
125,Poor,2,68,15,256,305,1959-09-25
126,Average,3,69,25,88,178,1991-02-18
127,Fair,3,00,44,172,150,2004-10-06
128,Poor,2,07,24,171,80,1972-11-08
129,Average,4,12,31,160,304,1961-05-14
130,Average,3,88,9,10,157,1963-07-31
131,Good,5,38,15,256,305,1956-01-19
132,Good,5,25,14,82,22,1979-11-24
133,Fair,3,12,9,192,285,1955-09-21
134,Poor,2,91,34,179,331,1969-07-13
135,Poor,2,78,15,256,305,1956-02-07
136,Good,5,48,14,280,147,1973-05-18
137,Fair,3,37,26,326,229,1971-10-14
138,Average,4,28,12,114,303,2002-02-15
139,Poor,2,63,16,245,168,1974-07-12
140,Good,4,85,41,297,84,2005-10-04
141,Good,5,03,43,302,274,1976-03-15
142,Poor,2,36,8,174,198,1962-03-14
143,Fair,3,11,11,151,202,1993-06-07
144,Good,5,32,25,21,116,1994-02-08
145,Excellent,5,92,12,114,303,1999-11-21
146,Fair,3,16,26,97,42,1991-02-10
147,Average,4,36,25,257,327,1974-09-30
148,Excellent,5,71,36,281,156,1985-12-23
